platform_id,name
8183,OXFORD CIRCUS BAKERLOO NB          
8235,BAKER ST BAKERLOO SB               
8038,WANSTEAD EB                        
8035,GANTS HILL WB                      
7537,EASTCOTE MET SB                    
7534,WEST HARROW NB                     
7538,EASTCOTE PICC EB                   
7971,SOUTH HARROW WB                    
7905,STAMFORD BROOK EB                  
8314,HAMMERSMITH D/P DISTRICT WB        
8419,NOTTING HILL GATE CENTRAL EB       
8063,LANCASTER GATE WB                  
7652,KILBURN PARK NB                    
7659,KENSAL GREEN BAKERLOO SB           
7638,KINGSBURY NB                       
7643,CANONS PARK SB                     
7889,EAST PUTNEY EB                     
7886,PARSONS GREEN WB                   
7533,NORTHWICK PARK SB                  
8495,WEMBLEY PARK MET NB                
7823,WEST HAM DISTRICT EB               
7816,UPTON PARK DISTRICT WB             
7825,WEST HAM H&C EB                    
7818,UPTON PARK H&C WB                  
7566,NORTHWOOD HILLS SB                 
7558,NORTH HARROW NB                    
8507,CHARING CROSS BAKERLOO NB          
8184,OXFORD CIRCUS BAKERLOO SB          
8189,GREEN PARK PICCADILLY EB           
8272,LEICESTER SQUARE PICC WB           
8085,GREENFORD EB                       
8082,HANGER LANE WB                     
7887,PUTNEY BRIDGE EB                   
7884,FULHAM BROADWAY WB                 
7961,ALPERTON EB                        
7958,NORTH EALING WB                    
8358,EDGWARE RD BAKERLOO NB             
7649,WARWICK AVENUE SB                  
7528,BAYSWATER DISTRICT EB              
8365,EDGWARE RD H&C DIST DEPS WB        
7587,ROYAL OAK EB                       
8368,EDGWARE RD H&C H&C WB              
8369,EDGWARE RD H&C CIRCLE DEPS IR      
8363,EDGWARE RD H&C CIRCLE IR           
1191,ROYAL OAK CIRCLE EB                
7527,BAYSWATER CIRCLE OR                
8277,PICCADILLY CIRCUS BAK NB           
7619,REGENTS PARK SB                    
8260,BOND STREET CENTRAL EB             
8432,TOTTENHAM COURT RD CENT WB         
8187,GREEN PARK VICTORIA NB             
8176,WARREN STREET VICTORIA SB          
8203,STOCKWELL NORTHERN NB              
8456,KENNINGTON CX SB                   
8458,KENNINGTON CITY SB                 
7984,HOUNSLOW EAST EB                   
7977,BOSTON MANOR WB                    
8462,MOORGATE NORTHERN NB               
7751,ANGEL SB                           
7927,SOUTHGATE EB                       
7924,COCKFOSTERS DEPS WB                
8066,HOLLAND PARK EB                    
8065,QUEENSWAY WB                       
8416,HIGH ST KEN DISTRICT EB            
7529,BAYSWATER DISTRICT WB              
7526,BAYSWATER CIRCLE IR                
8415,HIGH ST KEN CIRCLE OR              
7568,NORTHWOOD SB                       
7563,PINNER NB                          
8344,MOOR PARK MET SB                   
7565,NORTHWOOD HILLS NB                 
8338,HARROW - HILL SB                   
7530,PRESTON ROAD NB                    
7676,WEMBLEY CENTRAL BAKERLOO NB        
7685,SOUTH KENTON BAKERLOO SB           
8090,SOUTH RUISLIP CENTRAL EB           
8086,GREENFORD WB                       
7564,PINNER SB                          
8337,HARROW - HILL MET MAIN NB          
7976,BOSTON MANOR EB                    
7973,SOUTH EALING WB                    
7959,PARK ROYAL EB                      
8328,EALING COMMON PICCADILLY WB        
8081,HANGER LANE EB                     
8074,WEST ACTON EB                      
8073,EAST ACTON WB                      
8034,GANTS HILL EB                      
8031,BARKINGSIDE WB                     
7634,DOLLIS HILL NB                     
8493,WEMBLEY PARK JUBILEE SB            
8172,EUSTON NORTHERN CX NB              
8474,CAMDEN TOWN CX SB                  
7573,RICKMANSWORTH MET SB               
7570,CROXLEY SB                         
7567,NORTHWOOD NB                       
7508,BARBICAN H&C EB                    
8380,LIVERPOOL ST H&C WB                
7507,BARBICAN MET SB                    
8375,LIVERPOOL ST MET NB                
8436,BANK NORTHERN NB                   
8485,OLD STREET NORTHERN SB             
8378,LIVERPOOL ST CIRCLE IR             
7505,BARBICAN CIRCLE OR                 
8052,BETHNAL GREEN CENTRAL EB           
8046,STRATFORD CENTRAL WB               
7839,STEPNEY GREEN DISTRICT EB          
7834,BOW ROAD DISTRICT WB               
7841,STEPNEY GREEN H&C EB               
7836,BOW ROAD H&C WB                    
8234,BAKER ST BAKERLOO NB               
8359,EDGWARE RD BAKERLOO SB             
8062,LANCASTER GATE EB                  
8259,BOND STREET CENTRAL WB             
7854,BLACKFRIARS DISTRICT EB            
7846,CANNON STREET DISTRICT WB          
7852,BLACKFRIARS CIRCLE IR              
7844,CANNON STREET CIRCLE OR            
8136,FINSBURY PARK PICCADILLY EB        
7936,TURNPIKE LANE WB                   
7648,WARWICK AVENUE NB                  
7653,KILBURN PARK SB                    
8006,BUCKHURST HILL EB                  
8003,DEBDEN WB                          
8868,BERMONDSEY Jubilee WB              
8865,SOUTHWARK Jubilee EB               
7763,BOROUGH NB                         
8437,BANK NORTHERN SB                   
8438,BANK CENTRAL EB                    
8053,BETHNAL GREEN CENTRAL WB           
8468,MOORGATE H&C EB                    
8386,ALDGATE EAST H&C WB                
8467,MOORGATE MET SB                    
7503,ALDGATE MET DEPS NB                
7501,ALDGATE CIRCLE IR                  
8465,MOORGATE CIRCLE OR                 
8043,LEYTON EB                          
8018,SNARESBROOK WB                     
8039,WANSTEAD WB                        
8045,STRATFORD CENTRAL EB               
8442,LEYTONSTONE WB                     
8505,CHARING CROSS NORTHERN NB          
8430,TOTTENHAM COURT RD NTHN SB         
8275,PICCADILLY CIRCUS PICC EB          
7949,COVENT GARDEN WB                   
1185,WOOD LANE EB                       
7594,LADBROKE GROVE WB                  
1194,LADBROKE GROVE CIRCLE WB           
1188,WOOD LANE CIRCLE EB                
8064,QUEENSWAY EB                       
8061,MARBLE ARCH WB                     
8570,ELEPHANT/CASTLE BAK DEPS NB        
8219,WATERLOO BAKERLOO SB               
7595,LATIMER ROAD EB                    
7590,WESTBOURNE PARK H&C WB             
7592,WESTBOURNE PARK CIRCLE WB          
1195,LATIMER ROAD CIRCLE EB             
8279,SOUTH KENSINGTON PICC EB           
7951,HYDE PARK CORNER WB                
7524,EUSTON SQUARE H&C EB               
7517,FARRINGDON H&C WB                  
7523,EUSTON SQUARE MET SB               
7514,FARRINGDON MET NB                  
7750,ANGEL NB                           
8171,EUSTON NORTHERN CITY SB            
7945,RUSSELL SQUARE EB                  
7944,CALEDONIAN ROAD WB                 
8168,EUSTON VICTORIA NB                 
8143,HIGHBURY & IS VICTORIA SB          
7512,FARRINGDON CIRCLE IR               
7521,EUSTON SQUARE CIRCLE OR            
8492,WEMBLEY PARK JUBILEE NB            
7641,QUEENSBURY SB                      
7650,MAIDA VALE NB                      
7655,QUEENS PARK BAKERLOO SB            
7624,WEST HAMPSTEAD JUBILEE NB          
7633,WILLESDEN GREEN SB                 
8581,RICHMOND DISTRICT DEPS EB          
7908,GUNNERSBURY DISTRICT WB            
7684,SOUTH KENTON BAKERLOO NB           
8571,HARROW/WSTONE BAK DEPS SB          
8473,CAMDEN TOWN BARNET NB              
7741,TUFNELL PARK SB                    
7654,QUEENS PARK BAKERLOO NB            
7663,WILLESDEN JUNC BAKERLOO SB         
7765,OVAL NB                            
8217,WATERLOO NORTHERN SB               
8209,ELEPHANT/CASTLE NORTHERN SB        
7553,HILLINGDON MET SB                  
7544,RUISLIP MET NB                     
7554,HILLINGDON PICC EB                 
7547,RUISLIP PICC WB                    
7955,KNIGHTSBRIDGE EB                   
8190,GREEN PARK PICCADILLY WB           
7990,HATTON CROSS EB                    
7987,HOUNSLOW CENTRAL WB                
7986,HOUNSLOW CENTRAL EB                
7979,OSTERLEY WB                        
7988,HOUNSLOW WEST EB                   
7985,HOUNSLOW EAST WB                   
7796,ELM PARK EB                        
7793,UPMINSTER BRIDGE WB                
7943,CALEDONIAN ROAD EB                 
7940,ARSENAL WB                         
8068,SHEPHERDS BUSH CENTRAL EB          
8420,NOTTING HILL GATE CENTRAL WB       
8431,TOTTENHAM COURT RD CENT EB         
8059,CHANCERY LANE WB                   
7948,COVENT GARDEN EB                   
7946,RUSSELL SQUARE WB                  
7556,UXBRIDGE MET DEPS SB               
7548,ICKENHAM MET NB                    
7557,UXBRIDGE PICC DEPS EB              
7551,ICKENHAM PICC WB                   
8424,NOTTING HILL GATE DIST WB          
8421,NOTTING HILL GATE CIRCLE IR        
8288,GLOUCESTER ROAD CIRCLE OR          
7738,ARCHWAY NB                         
7735,EAST FINCHLEY SB                   
8153,KINGS CROSS VICTORIA NB            
8135,FINSBURY PARK VICTORIA SB          
7705,BRENT CROSS NB                     
7702,COLINDALE SB                       
7597,SHEPHERDS BUSH MARKET EB           
7596,LATIMER ROAD WB                    
1196,LATIMER ROAD CIRCLE WB             
1197,SHEPHERDS BUSH MARKET CIRCLE EB    
7535,WEST HARROW SB                     
7559,NORTH HARROW SB                    
7532,NORTHWICK PARK NB                  
7662,WILLESDEN JUNC BAKERLOO NB         
7673,STONEBRIDGE PARK BAK SB            
8083,PERIVALE EB                        
8428,NORTH ACTON (WEST RUIS) WB         
7713,BELSIZE PARK NB                    
7710,GOLDERS GREEN SB                   
7903,RAVENSCOURT PARK EB                
8307,BARONS COURT DISTRICT WB           
8321,ACTON TOWN PICC EB                 
8305,BARONS COURT PICCADILLY WB         
8028,FAIRLOP EB                         
8026,GRANGE HILL TO HAINAULT WB         
7914,KEW GARDENS DISTRICT EB            
8413,TURNHAM GREEN RICH WB              
8860,WESTMINSTER Jubilee WB             
8262,BOND STREET JUBILEE SB             
7950,HYDE PARK CORNER EB                
8276,PICCADILLY CIRCUS PICC WB          
8194,VICTORIA VICTORIA NB               
8180,OXFORD CIRCUS VICTORIA SB          
8088,NORTHOLT EB                        
8084,PERIVALE WB                        
8240,BAKER ST H&C EB                    
7525,EUSTON SQUARE H&C WB               
8242,BAKER ST MET MAIN SB               
7522,EUSTON SQUARE MET NB               
7520,EUSTON SQUARE CIRCLE IR            
8239,BAKER ST CIRCLE OR                 
8578,HAINAULT FROM FAIRLOP EB           
8024,CHIGWELL TO HAINAULT WB            
8429,TOTTENHAM COURT RD NTHN NB         
8178,WARREN STREET NORTHERN SB          
8315,HAMMERSMITH H&C DEPS EB            
